track_id,track_name,album_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,date,streams
6755DFiZ7CWe2WMdTGW5C1,Ski,Slime Language 2,Young Stoner Life,63,152333,0.953,0.621,8,-7.638,0,0.221,0.017,0.0,0.0398,0.883,123.016,4,['pop rap'],2021-04-16,5541
1cA4wEmLkKlttS6N89LbJh,Wandered To LA (with Justin Bieber),Fighting Demons,Juice WRLD,0,188833,0.687,0.643,0,-4.763,1,0.0406,0.0518,3.31e-06,0.11,0.418,135.068,4,"['chicago rap', 'melodic rap', 'rap']",2021-12-10,162177
3Wrjm47oTz2sjIgck11l5e,Beggin',Chosen,Måneskin,82,211560,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,4,"['indie rock italiano', 'italian pop']",2017-12-15,61486
6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,72,219760,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008,4,['pop'],2021-11-13,19657
0k4d5YPDr1r7FX77VdqWez,You Right,Planet Her,Doja Cat,74,186173,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4,"['dance pop', 'pop']",2021-06-25,29940
1dPNJDYuW9QAtkOpK3eBvO,God Breathed,Donda,Kanye West,0,333462,0.325,0.311,10,-7.481,1,0.0442,0.289,6.74e-05,0.11,0.0789,92.744,3,"['chicago rap', 'hip hop', 'rap']",2021-08-29,14534
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),Planet Her,Doja Cat,80,208667,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4,"['dance pop', 'pop']",2021-06-25,2148
4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,Olivia Rodrigo,82,178147,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,['pop'],2021-05-21,157473
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,31,238805,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2020-08-17,72549
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,74,242966,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,10686
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Happier Than Ever,Billie Eilish,82,298899,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3,"['art pop', 'pop']",2021-07-29,7202
5dXWFMwD7I7zXsInONVl0H,I Hate U,I Hate U,SZA,64,174000,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,5,"['pop', 'r&b', 'rap']",2021-12-03,2753079
3DZ8dbKg4OTSSqGARvecYd,Broadway Girls (feat. Morgan Wallen),Broadway Girls (feat. Morgan Wallen),Lil Durk,67,185600,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,4,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",2021-12-17,1210147
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,TAKE TIME,Giveon,79,198371,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3,['r&b'],2020-04-04,65858
3gWzTnziivUYzqXtnvgN8q,Jonah,Donda,Kanye West,0,195170,0.459,0.431,9,-8.375,0,0.256,0.795,0.0,0.274,0.128,177.3,4,"['chicago rap', 'hip hop', 'rap']",2021-08-29,42528
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Easy On Me,Adele,77,224695,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,4,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-10-14,4639
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,MONTERO,Lil Nas X,73,143901,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,4,['lgbtq+ hip hop'],2021-09-16,6871
4iN16F8JtVxG2UTzp3avGl,Smokin Out The Window,Smokin Out The Window,Bruno Mars,1,197443,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,4,"['dance pop', 'pop']",2021-11-05,33102
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gaitán,71,216120,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,4,[],2021-12-13,101402
23OYT3SFtoJqhiAUqktbc1,No Return (with The Kid LAROI & Lil Durk),Hall of Fame,Polo G,54,168729,0.479,0.645,5,-7.336,0,0.302,0.135,0.0,0.0825,0.381,155.057,4,"['chicago rap', 'rap']",2021-06-11,4487
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,70,257605,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,19805
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,73,192956,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-03-05,21521
4s7QLoImIwmPi9L6dq1nVW,TSU,Certified Lover Boy,Drake,68,308756,0.568,0.56,9,-9.059,1,0.42,0.228,3.05e-06,0.39,0.246,130.019,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,13129
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,79,252262,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,4,"['hip hop', 'rap']",2021-09-10,4212
01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,71,258813,0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,4,['pop'],2021-11-12,3136993
4wcBRRpIfesgcyUtis7PEg,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,76,163587,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,4,['pop'],2021-05-20,6394
35mvY5S1H3J2QZyna3TFe0,positions,Positions,Ariana Grande,78,172325,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,['pop'],2020-10-30,47732
5fbHRCsGpFIOLRtlhCRFDR,LEMONHEAD (feat. 42 Dugg),CALL ME IF YOU GET LOST,"Tyler, The Creator",62,130980,0.62,0.586,1,-6.612,1,0.212,0.155,0.0,0.535,0.487,137.131,4,"['hip hop', 'rap']",2021-06-24,6402
5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,Planet Her,Doja Cat,73,174253,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,4,"['dance pop', 'pop']",2021-06-25,1661
5CZ40GBx1sQ9agT82CLQCT,traitor,SOUR,Olivia Rodrigo,83,229227,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,['pop'],2021-05-20,7335
6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,Certified Lover Boy,Drake,61,178623,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,199755
5JCoSi02qi3jJeHdZXMmR8,favorite crime,SOUR,Olivia Rodrigo,82,152667,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,4,['pop'],2021-05-21,275804
5NU40QTlXrDUJzDBdv79bg,Deserve You,Justice,Justin Bieber,60,187239,0.677,0.633,7,-7.831,1,0.0771,0.0314,0.0,0.112,0.409,89.934,4,"['canadian pop', 'pop']",2021-03-19,2710
